customer_id,city,region,city_tier,age_band,gender,occupation,monthly_income_inr,diet_preference,fitness_goal,current_mood_state,primary_meal_occasion,preferred_cuisine,spice_preference,packaging_preference,preferred_order_channel,preferred_payment_mode,delivery_speed_preference,meal_plan_preference,price_sensitivity_score,health_orientation_score,convenience_need_score,personalization_interest_score,subscription_interest_score,social_media_influence_score,office_lunch_need_score,breakfast_need_score,indulgence_score,preferred_product_category_1,preferred_product_category_2,order_frequency_per_month,avg_order_value_inr,monthly_food_delivery_spend_inr,discount_response_pct,likely_to_try_moodmeal,bundle_affinity,subscription_propensity,health_segment,purchase_intent_score,purchase_intent_label,sales_funnel_stage,age_band_code,city_tier_code,purchase_intent_binary,bundle_affinity_code,subscription_propensity_code,sales_funnel_stage_code,fitness_goal_score,diet_preference_score,income_segment,avg_order_value_segment,monthly_spend_segment,wellness_index,value_seeking_index,digital_convenience_index,meal_need_intensity_index,customer_potential_score,priority_segment
MM101259,Pune,West,Tier 1,35-44,Male,Entrepreneur/Freelancer,54250,Veg,Weight Loss,Busy/Pressed for Time,Dinner,North Indian,Spicy,Premium,Own App/Website,UPI,Under 20 min,On-demand,57,69,79,40,60,40,29,58,17,Personalised Healthy Meal Bowls,Breakfast & Snack Boxes,5,510,2126,24,1,Medium,Medium,Medium,56,Not Interested,Awareness/Consideration,3,2,0,2,2,2,10,6,Mass Premium,Premium,Moderate,76.0,42.2,48.7,48.0,48.8,Nurture
MM101260,Lucknow,North,Tier 2,35-44,Male,Creative/Media,91501,Vegan,High Protein/Fitness,Busy/Pressed for Time,Mid-evening Snack,South Indian,Mild,Premium,Zomato/Swiggy,UPI,20-40 min,Monthly Subscription,46,50,69,48,55,78,42,16,39,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,2,475,1102,26,0,Medium,Medium,Medium,69,Interested,High Intent Lead,3,3,1,2,2,3,9,10,Affluent,Premium,Light,74.5,37.0,54.2,35.2,49.0,Nurture
MM101261,Bengaluru,South,Metro,35-44,Female,Creative/Media,121899,Non-Veg,High Protein/Fitness,Stressed,Office Meal,Continental,Medium,Value/Functional,Quick Commerce,Wallet,20-40 min,On-demand,95,100,85,59,43,99,61,25,56,Comfort Food Combo Boxes,Functional Beverages & Mood Drinks,6,570,3736,41,1,Medium,Medium,High,83,Interested,Trial Ordered,3,1,1,2,2,4,9,6,Upper Affluent,High Premium,Moderate,87.0,70.7,63.6,55.4,61.2,High Potential
MM101262,Bengaluru,South,Metro,55+,Non-binary,Creative/Media,104563,Eggetarian,Balanced Eating,Happy/Social,Mid-evening Snack,Pan-Asian,Medium,Value/Functional,Quick Commerce,Cash on Delivery,Planned/Subscription,Weekly Subscription,49,82,47,100,70,47,34,19,11,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,8,613,4118,19,0,Low,Medium,High,93,Interested,Repeat Customer,5,1,1,1,2,5,8,7,Upper Affluent,High Premium,Moderate,78.4,35.5,54.0,41.4,73.4,High Potential
MM101263,Bengaluru,South,Metro,55+,Male,Homemaker,109862,Non-Veg,High Protein/Fitness,Health-Focused,Office Meal,South Indian,Medium,Value/Functional,Quick Commerce,UPI,20-40 min,On-demand,95,34,99,100,26,51,82,12,0,Personalised Healthy Meal Bowls,Office Lunch & Subscription Packs,3,535,1836,37,0,Medium,Medium,Medium,73,Interested,High Intent Lead,5,1,1,2,2,3,9,6,Upper Affluent,Premium,Light,57.3,68.9,63.8,56.6,51.6,Nurture
MM101264,Mumbai,West,Metro,25-34,Male,Creative/Media,105766,Veg,High Protein/Fitness,Happy/Social,Breakfast,North Indian,Medium,Value/Functional,Zomato/Swiggy,UPI,Under 20 min,Weekly Subscription,62,62,55,45,43,33,0,96,43,Breakfast & Snack Boxes,Personalised Healthy Meal Bowls,5,482,2667,16,1,Low,Low,Medium,54,Not Interested,Awareness/Consideration,2,1,0,1,1,2,9,6,Upper Affluent,Premium,Moderate,69.9,41.3,38.6,42.2,43.6,Low Potential
MM101265,Chennai,South,Metro,18-24,Female,Creative/Media,25701,Veg,Weight Loss,Busy/Pressed for Time,Lunch,Continental,Mild,Premium,Quick Commerce,Credit/Debit Card,Under 20 min,On-demand,59,45,76,63,86,38,33,18,59,Personalised Healthy Meal Bowls,Comfort Food Combo Boxes,6,321,1538,26,0,Medium,Medium,Medium,71,Interested,Trial Ordered,1,1,1,2,2,4,10,6,Budget,Mid Premium,Light,65.2,44.2,55.9,41.1,59.5,Nurture
MM101266,Mumbai,West,Metro,25-34,Female,Entrepreneur/Freelancer,85318,Non-Veg,High Protein/Fitness,Low Energy,Dinner,South Indian,Mild,Premium,Zomato/Swiggy,UPI,20-40 min,On-demand,57,54,67,71,13,32,57,43,35,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,1,496,401,23,0,Low,Low,Medium,49,Not Interested,Low Intent Lead,2,1,0,1,1,1,9,6,Affluent,Premium,Light,66.3,41.7,42.7,45.6,35.8,Low Potential
MM101267,Bengaluru,South,Metro,25-34,Female,Homemaker,111062,Non-Veg,Balanced Eating,Stressed,Mid-evening Snack,Mediterranean,Mild,Eco-friendly,Zomato/Swiggy,UPI,20-40 min,On-demand,53,93,33,72,57,50,39,78,69,Personalised Healthy Meal Bowls,Comfort Food Combo Boxes,7,491,3554,42,0,Low,Medium,High,59,Interested,High Intent Lead,2,1,1,1,2,3,8,6,Upper Affluent,Premium,Moderate,80.8,48.1,42.8,54.0,56.6,Nurture
MM101268,Chennai,South,Metro,45-54,Female,Creative/Media,67145,Mixed/Flexible,Balanced Eating,Low Energy,Mid-evening Snack,Continental,Spicy,Premium,Zomato/Swiggy,UPI,20-40 min,Monthly Subscription,77,80,72,35,42,19,52,49,17,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,4,426,2102,30,0,Medium,Medium,Medium,70,Interested,Awareness/Consideration,4,1,1,2,2,2,8,6,Affluent,Premium,Moderate,75.0,55.8,38.7,51.8,49.3,Nurture
MM101269,Chennai,South,Metro,18-24,Male,Corporate Professional,56517,Non-Veg,Weight Loss,Stressed,Lunch,Indian,Medium,Value/Functional,Own App/Website,UPI,20-40 min,Monthly Subscription,66,73,68,69,78,79,46,51,57,Comfort Food Combo Boxes,Personalised Healthy Meal Bowls,5,356,2080,33,1,Medium,Medium,High,73,Interested,High Intent Lead,1,1,1,2,2,3,10,6,Mass Premium,Mid Premium,Moderate,77.8,51.2,61.7,51.4,62.2,High Potential
MM101270,Kolkata,East,Metro,25-34,Female,Corporate Professional,134485,Eggetarian,Weight Loss,Busy/Pressed for Time,Office Meal,North Indian,Medium,Premium,Zomato/Swiggy,UPI,20-40 min,On-demand,39,88,80,56,100,50,48,28,72,Personalised Healthy Meal Bowls,Office Lunch & Subscription Packs,11,549,6206,14,1,Medium,High,High,88,Interested,Trial Ordered,2,1,1,2,3,4,10,7,Upper Affluent,Premium,Heavy,87.1,27.8,60.2,60.2,76.5,Core Target
MM101271,Pune,West,Tier 1,55+,Female,Corporate Professional,103184,Non-Veg,Weight Loss,Stressed,Mid-evening Snack,Fusion,Medium,Value/Functional,Zomato/Swiggy,UPI,20-40 min,Monthly Subscription,59,73,72,66,7,78,47,15,26,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,5,613,2452,20,1,Low,Low,High,52,Not Interested,Awareness/Consideration,5,2,0,1,1,2,10,6,Upper Affluent,High Premium,Moderate,77.8,41.4,51.4,43.3,39.9,Low Potential
MM101272,Bengaluru,South,Metro,45-54,Female,Entrepreneur/Freelancer,75121,Veg,Convenience First,Low Energy,Mid-evening Snack,Pan-Asian,Medium,Value/Functional,Zomato/Swiggy,UPI,20-40 min,On-demand,45,46,64,35,53,71,46,0,92,Comfort Food Combo Boxes,Functional Beverages & Mood Drinks,6,372,2727,20,0,Low,Medium,Low,51,Not Interested,Low Intent Lead,4,1,0,1,2,1,5,6,Affluent,Mid Premium,Moderate,50.7,33.8,48.3,40.0,42.1,Low Potential
MM101273,Bhubaneswar,East,Tier 2,18-24,Male,Corporate Professional,51795,Non-Veg,High Protein/Fitness,Low Energy,Lunch,South Indian,Medium,Eco-friendly,Quick Commerce,Cash on Delivery,Under 20 min,Monthly Subscription,72,85,85,51,9,68,87,0,55,Functional Beverages & Mood Drinks,Office Lunch & Subscription Packs,4,274,1245,24,0,Low,Low,High,56,Not Interested,Awareness/Consideration,1,3,0,1,1,2,9,6,Mass Premium,Mass,Light,80.2,50.4,50.7,55.6,39.1,Low Potential
MM101274,Mumbai,West,Metro,18-24,Male,Student,16350,Jain,Comfort/Indulgence,Low Energy,Breakfast,Pan-Asian,Medium,Eco-friendly,Quick Commerce,UPI,20-40 min,Monthly Subscription,48,65,68,92,37,42,46,90,100,Functional Beverages & Mood Drinks,Breakfast & Snack Boxes,7,225,1503,25,1,Low,Low,High,55,Not Interested,Low Intent Lead,1,1,0,1,1,1,5,7,Budget,Mass,Light,61.8,37.7,52.8,65.1,49.9,Nurture
MM101275,Hyderabad,South,Metro,25-34,Male,Retired,61399,Jain,Balanced Eating,Stressed,Lunch,North Indian,Medium,Eco-friendly,Zomato/Swiggy,Credit/Debit Card,20-40 min,On-demand,44,37,90,48,23,73,36,86,0,Breakfast & Snack Boxes,Personalised Healthy Meal Bowls,4,247,1134,23,1,Medium,Low,Low,44,Not Interested,Low Intent Lead,2,1,0,2,1,1,8,7,Affluent,Mass,Light,58.2,34.6,54.6,57.4,34.6,Low Potential
MM101276,Chennai,South,Metro,45-54,Female,Retired,134841,Veg,High Protein/Fitness,Stressed,Lunch,Indian,Medium,Value/Functional,Quick Commerce,UPI,Planned/Subscription,Monthly Subscription,53,71,55,68,81,20,56,37,30,Personalised Healthy Meal Bowls,Office Lunch & Subscription Packs,7,536,4274,26,0,Medium,Medium,High,57,Not Interested,Low Intent Lead,4,1,0,2,2,1,9,6,Upper Affluent,Premium,Moderate,73.9,40.8,46.2,53.9,60.3,High Potential
MM101277,Hyderabad,South,Metro,25-34,Male,Homemaker,85222,Veg,Balanced Eating,Busy/Pressed for Time,Dinner,Indian,Medium,Value/Functional,Quick Commerce,Credit/Debit Card,20-40 min,Weekly Subscription,34,100,87,75,19,33,47,12,57,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,8,486,2987,18,1,Low,Low,High,75,Interested,High Intent Lead,2,1,1,1,1,3,8,6,Affluent,Premium,Moderate,84.0,26.8,50.6,50.8,54.9,Nurture
MM101278,Delhi NCR,North,Metro,55+,Female,Teacher/Academia,67897,Non-Veg,Weight Loss,Happy/Social,Office Meal,North Indian,Medium,Eco-friendly,WhatsApp/Instagram,Credit/Debit Card,20-40 min,On-demand,81,61,100,37,75,34,100,63,17,Office Lunch & Subscription Packs,Breakfast & Snack Boxes,6,492,2345,28,0,Medium,High,Medium,61,Interested,Trial Ordered,5,1,1,2,3,4,10,6,Affluent,Premium,Moderate,72.4,57.2,55.4,82.8,52.6,Nurture
MM101279,Jaipur,North,Tier 2,35-44,Male,Entrepreneur/Freelancer,77571,Veg,Weight Loss,Stressed,Lunch,South Indian,Spicy,Eco-friendly,Zomato/Swiggy,UPI,Under 20 min,Weekly Subscription,86,85,93,40,57,33,69,27,75,Comfort Food Combo Boxes,Personalised Healthy Meal Bowls,6,416,3032,32,0,Medium,Medium,High,39,Not Interested,Low Intent Lead,3,3,0,2,2,1,10,6,Affluent,Premium,Moderate,83.2,61.7,51.0,60.3,45.9,Nurture
MM101280,Delhi NCR,North,Metro,35-44,Female,Homemaker,47039,Veg,Balanced Eating,Busy/Pressed for Time,Dinner,South Indian,Medium,Eco-friendly,Zomato/Swiggy,UPI,20-40 min,On-demand,27,74,100,52,56,41,48,68,41,Personalised Healthy Meal Bowls,Office Lunch & Subscription Packs,8,453,4366,7,0,Medium,Medium,Medium,90,Interested,Repeat Customer,3,1,1,2,2,5,8,6,Mass Premium,Premium,Moderate,72.3,18.0,57.0,67.2,63.6,High Potential
MM101281,Indore,Central,Tier 2,25-34,Female,Corporate Professional,89243,Veg,Comfort/Indulgence,Health-Focused,Mid-evening Snack,North Indian,Spicy,Premium,Corporate Bulk,UPI,Planned/Subscription,Weekly Subscription,71,50,51,80,34,52,37,60,93,Comfort Food Combo Boxes,Breakfast & Snack Boxes,6,411,2726,21,1,Low,Low,Medium,50,Not Interested,Low Intent Lead,2,3,0,1,1,1,5,6,Affluent,Premium,Moderate,52.5,48.5,46.8,49.4,45.1,Nurture
MM101282,Mumbai,West,Metro,35-44,Female,Teacher/Academia,62136,Vegan,Weight Loss,Low Energy,Office Meal,South Indian,Medium,Eco-friendly,Zomato/Swiggy,UPI,Planned/Subscription,On-demand,73,93,28,78,46,38,49,42,45,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,1,404,312,27,1,Low,Low,High,73,Interested,High Intent Lead,3,1,1,1,1,3,10,10,Affluent,Premium,Light,96.8,52.3,38.5,36.3,54.4,Nurture
MM101283,Chennai,South,Metro,35-44,Male,Corporate Professional,52934,Eggetarian,Balanced Eating,Happy/Social,Lunch,Indian,Spicy,Eco-friendly,Zomato/Swiggy,UPI,Under 20 min,On-demand,76,55,40,70,36,84,28,94,9,Breakfast & Snack Boxes,Functional Beverages & Mood Drinks,3,324,1068,30,0,Low,Low,Medium,45,Not Interested,Awareness/Consideration,3,1,0,1,1,2,8,7,Mass Premium,Mid Premium,Light,66.2,55.3,48.2,46.7,40.5,Low Potential
MM101284,Kolkata,East,Metro,55+,Female,Teacher/Academia,127322,Non-Veg,High Protein/Fitness,Health-Focused,Dinner,North Indian,Medium,Eco-friendly,Zomato/Swiggy,Wallet,Under 20 min,Monthly Subscription,46,97,50,74,57,10,83,39,0,Personalised Healthy Meal Bowls,Office Lunch & Subscription Packs,8,665,6131,12,0,Low,Medium,High,80,Interested,Repeat Customer,5,1,1,1,2,5,9,6,Upper Affluent,High Premium,Heavy,85.6,30.7,40.4,66.4,66.2,High Potential
MM101285,Mumbai,West,Metro,25-34,Female,Entrepreneur/Freelancer,61276,Non-Veg,Weight Loss,Happy/Social,Lunch,South Indian,Medium,Value/Functional,Zomato/Swiggy,UPI,Under 20 min,On-demand,66,42,64,77,49,85,49,47,73,Comfort Food Combo Boxes,Functional Beverages & Mood Drinks,6,344,2573,27,0,Medium,Medium,Medium,53,Not Interested,Awareness/Consideration,2,1,0,2,2,2,10,6,Affluent,Mid Premium,Moderate,63.9,48.4,59.0,53.0,49.3,Nurture
MM101286,Mumbai,West,Metro,35-44,Female,Corporate Professional,105299,Non-Veg,Weight Loss,Health-Focused,Dinner,Indian,Medium,Value/Functional,WhatsApp/Instagram,Credit/Debit Card,Under 20 min,Monthly Subscription,67,88,45,79,74,62,81,0,47,Personalised Healthy Meal Bowls,Office Lunch & Subscription Packs,3,539,1674,34,0,Medium,Medium,High,78,Interested,Trial Ordered,3,1,1,2,2,4,10,6,Upper Affluent,Premium,Light,84.6,52.2,52.8,45.2,64.8,High Potential
MM101287,Ahmedabad,West,Tier 1,25-34,Female,Student,23663,Vegan,Convenience First,Low Energy,Late-night Craving,Indian,Medium,Eco-friendly,Quick Commerce,UPI,20-40 min,Monthly Subscription,66,61,68,100,78,72,58,21,76,Functional Beverages & Mood Drinks,Comfort Food Combo Boxes,5,218,1306,20,1,Medium,Medium,High,82,Interested,High Intent Lead,2,2,1,2,2,3,5,10,Budget,Mass,Light,67.4,45.3,66.5,48.7,67.7,High Potential
MM101288,Hyderabad,South,Metro,18-24,Female,Corporate Professional,14778,Non-Veg,Comfort/Indulgence,Busy/Pressed for Time,Breakfast,North Indian,Mild,Eco-friendly,Zomato/Swiggy,Credit/Debit Card,Under 20 min,On-demand,32,42,77,50,30,33,48,31,79,Office Lunch & Subscription Packs,Comfort Food Combo Boxes,7,339,2252,29,1,Medium,Low,Low,67,Interested,Awareness/Consideration,1,1,1,2,1,2,5,6,Budget,Mid Premium,Moderate,48.9,30.6,44.2,52.5,45.8,Nurture
MM101289,Delhi NCR,North,Metro,55+,Female,Creative/Media,43531,Veg,Balanced Eating,Low Energy,Lunch,Indian,Medium,Premium,WhatsApp/Instagram,Cash on Delivery,Under 20 min,On-demand,33,66,57,100,66,81,54,100,49,Functional Beverages & Mood Drinks,Personalised Healthy Meal Bowls,6,321,1634,21,0,Low,Medium,High,71,Interested,High Intent Lead,5,1,1,1,2,3,8,6,Mass Premium,Mid Premium,Light,68.7,27.6,63.2,67.2,61.5,High Potential
MM101290,Kochi,South,Tier 2,35-44,Male,Healthcare/Service,54773,Veg,Comfort/Indulgence,Low Energy,Lunch,Indian,Spicy,Premium,Own App/Website,UPI,Planned/Subscription,On-demand,51,44,52,64,67,45,41,70,83,Functional Beverages & Mood Drinks,Comfort Food Combo Boxes,4,328,1465,22,0,Low,Medium,Medium,33,Not Interested,Low Intent Lead,3,3,0,1,2,1,5,6,Mass Premium,Mid Premium,Light,49.8,38.0,47.4,49.7,41.8,Low Potential
MM101291,Mumbai,West,Metro,35-44,Male,Student,8067,Jain,Balanced Eating,Health-Focused,Mid-evening Snack,Pan-Asian,Spicy,Value/Functional,Corporate Bulk,Wallet,20-40 min,Weekly Subscription,59,65,49,100,57,84,43,59,39,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,2,368,897,23,0,Low,Medium,High,74,Interested,Trial Ordered,3,1,1,1,2,4,8,7,Budget,Mid Premium,Light,70.8,42.8,60.0,43.3,58.3,Nurture
MM101292,Hyderabad,South,Metro,35-44,Female,Entrepreneur/Freelancer,94268,Vegan,Comfort/Indulgence,Low Energy,Breakfast,South Indian,Mild,Premium,Quick Commerce,UPI,20-40 min,Monthly Subscription,78,15,66,83,48,68,54,54,100,Comfort Food Combo Boxes,Functional Beverages & Mood Drinks,5,543,2858,9,0,Low,Medium,Low,47,Not Interested,Low Intent Lead,3,1,0,1,2,1,5,10,Affluent,Premium,Moderate,46.8,47.0,57.2,55.0,43.7,Low Potential
MM101293,Delhi NCR,North,Metro,25-34,Male,Entrepreneur/Freelancer,59194,Eggetarian,Balanced Eating,Stressed,Breakfast,Indian,Medium,Eco-friendly,Zomato/Swiggy,Credit/Debit Card,Planned/Subscription,On-demand,74,83,65,55,46,70,9,20,48,Comfort Food Combo Boxes,Personalised Healthy Meal Bowls,7,404,3126,32,1,Medium,Low,High,62,Interested,High Intent Lead,2,1,1,2,1,3,8,7,Mass Premium,Premium,Moderate,78.8,55.1,51.4,32.4,53.1,Nurture
MM101294,Indore,Central,Tier 2,35-44,Male,Healthcare/Service,74641,Veg,Balanced Eating,Happy/Social,Lunch,North Indian,Mild,Value/Functional,Own App/Website,UPI,Planned/Subscription,On-demand,28,93,78,78,26,31,37,51,67,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,7,405,3215,5,0,Low,Low,High,67,Interested,Trial Ordered,3,3,1,1,1,4,8,6,Affluent,Premium,Moderate,80.8,17.7,49.1,53.2,53.4,Nurture
MM101295,Ahmedabad,West,Tier 1,25-34,Female,Entrepreneur/Freelancer,38204,Non-Veg,Balanced Eating,Happy/Social,Lunch,North Indian,Medium,Value/Functional,Zomato/Swiggy,Cash on Delivery,Under 20 min,On-demand,43,100,20,84,37,93,45,82,76,Functional Beverages & Mood Drinks,Personalised Healthy Meal Bowls,3,241,876,5,1,Low,Low,High,62,Interested,High Intent Lead,2,2,1,1,1,3,8,6,Mass Premium,Mass,Light,84.0,25.9,47.0,47.5,52.2,Nurture
MM101296,Kolkata,East,Metro,45-54,Female,Teacher/Academia,90964,Non-Veg,Convenience First,Busy/Pressed for Time,Lunch,North Indian,Spicy,Eco-friendly,Quick Commerce,UPI,20-40 min,Weekly Subscription,26,37,80,58,46,45,67,9,36,Office Lunch & Subscription Packs,Personalised Healthy Meal Bowls,4,396,1898,15,0,Medium,Medium,Low,49,Not Interested,Low Intent Lead,4,1,0,2,2,1,5,6,Affluent,Mid Premium,Light,46.7,21.0,51.5,49.0,42.8,Low Potential
MM101297,Kolkata,East,Metro,25-34,Female,Homemaker,100941,Non-Veg,Weight Loss,Busy/Pressed for Time,Mid-evening Snack,Pan-Asian,Spicy,Eco-friendly,Zomato/Swiggy,UPI,20-40 min,On-demand,44,100,44,46,99,51,43,45,78,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,6,441,2047,17,0,Medium,High,High,70,Interested,Awareness/Consideration,2,1,1,2,3,2,10,6,Upper Affluent,Premium,Moderate,90.0,31.8,47.4,47.1,65.1,High Potential
MM101298,Chennai,South,Metro,25-34,Male,Corporate Professional,122039,Mixed/Flexible,High Protein/Fitness,Low Energy,Lunch,South Indian,Medium,Value/Functional,Zomato/Swiggy,Wallet,20-40 min,On-demand,64,87,50,79,16,51,23,54,12,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,7,567,3216,16,0,Low,Low,High,66,Interested,High Intent Lead,2,1,1,1,1,3,9,6,Upper Affluent,High Premium,Moderate,81.1,42.4,43.4,44.2,50.7,Nurture
MM101299,Hyderabad,South,Metro,18-24,Male,Corporate Professional,51930,Non-Veg,Comfort/Indulgence,Health-Focused,Lunch,Indian,Spicy,Value/Functional,Own App/Website,Cash on Delivery,20-40 min,Weekly Subscription,69,58,71,82,35,64,99,24,47,Office Lunch & Subscription Packs,Functional Beverages & Mood Drinks,5,384,2205,34,0,Medium,Medium,Medium,67,Interested,Awareness/Consideration,1,1,1,2,2,2,5,6,Mass Premium,Mid Premium,Moderate,56.1,53.2,55.8,66.2,52.4,Nurture
MM101300,Delhi NCR,North,Metro,25-34,Male,Entrepreneur/Freelancer,41998,Veg,Comfort/Indulgence,Health-Focused,Lunch,South Indian,Medium,Eco-friendly,Zomato/Swiggy,UPI,20-40 min,On-demand,47,53,54,52,55,42,18,51,46,Breakfast & Snack Boxes,Personalised Healthy Meal Bowls,6,301,1546,8,0,Low,Medium,Medium,58,Interested,Trial Ordered,2,1,1,1,2,4,5,6,Mass Premium,Mid Premium,Light,53.8,29.4,43.2,40.1,46.9,Nurture
MM101301,Pune,West,Tier 1,25-34,Male,Healthcare/Service,30377,Non-Veg,Balanced Eating,Busy/Pressed for Time,Office Meal,Indian,Spicy,Premium,Zomato/Swiggy,UPI,20-40 min,Monthly Subscription,58,52,86,52,68,45,73,60,29,Breakfast & Snack Boxes,Office Lunch & Subscription Packs,8,256,2420,21,0,Medium,Medium,Medium,43,Not Interested,Awareness/Consideration,2,2,0,2,2,2,8,6,Mass Premium,Mass,Moderate,62.4,41.4,55.4,73.1,48.1,Nurture
MM101302,Mumbai,West,Metro,45-54,Female,Corporate Professional,134919,Non-Veg,Weight Loss,Stressed,Mid-evening Snack,Fusion,Medium,Value/Functional,Zomato/Swiggy,UPI,20-40 min,On-demand,63,100,64,54,46,59,34,27,36,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,5,594,2860,19,0,Low,Medium,High,73,Interested,High Intent Lead,4,1,1,1,2,3,10,6,Upper Affluent,High Premium,Moderate,90.0,43.2,48.7,40.0,55.2,Nurture
MM101303,Kolkata,East,Metro,45-54,Male,Corporate Professional,239786,Non-Veg,Weight Loss,Busy/Pressed for Time,Mid-evening Snack,Mediterranean,Medium,Value/Functional,Zomato/Swiggy,UPI,20-40 min,On-demand,86,72,52,41,34,41,100,48,37,Office Lunch & Subscription Packs,Personalised Healthy Meal Bowls,4,809,2805,42,1,Low,Medium,Medium,76,Interested,Awareness/Consideration,4,1,1,1,2,2,10,6,Premium,High Premium,Moderate,77.4,66.2,37.1,67.8,48.6,Nurture
MM101304,Chandigarh,North,Tier 2,55+,Male,Corporate Professional,67976,Non-Veg,Convenience First,Busy/Pressed for Time,Lunch,Indian,Medium,Value/Functional,WhatsApp/Instagram,UPI,20-40 min,On-demand,68,49,76,79,92,100,86,0,40,Office Lunch & Subscription Packs,Functional Beverages & Mood Drinks,4,261,837,29,1,Medium,High,Medium,83,Interested,Trial Ordered,5,3,1,2,3,4,5,6,Affluent,Mass,Light,52.0,50.4,72.4,53.8,65.7,High Potential
MM101305,Chennai,South,Metro,25-34,Female,Teacher/Academia,89306,Veg,Balanced Eating,Busy/Pressed for Time,Dinner,Continental,Spicy,Value/Functional,Own App/Website,UPI,20-40 min,On-demand,76,90,79,47,23,64,59,28,46,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,6,420,2320,27,1,Low,Low,High,69,Interested,High Intent Lead,2,1,1,1,1,3,8,6,Affluent,Premium,Moderate,79.5,54.0,49.4,54.4,47.3,Nurture
MM101306,Jaipur,North,Tier 2,45-54,Female,Government/Public Sector,70025,Veg,Weight Loss,Happy/Social,Lunch,Indian,Spicy,Eco-friendly,WhatsApp/Instagram,Credit/Debit Card,Planned/Subscription,Weekly Subscription,32,100,42,33,93,39,84,69,25,Personalised Healthy Meal Bowls,Office Lunch & Subscription Packs,6,471,2479,17,0,Low,High,High,70,Interested,Awareness/Consideration,4,3,1,1,3,2,10,6,Affluent,Premium,Moderate,90.0,25.2,41.0,69.2,60.7,High Potential
MM101307,Kochi,South,Tier 2,45-54,Female,Retired,71924,Non-Veg,High Protein/Fitness,Busy/Pressed for Time,Late-night Craving,Indian,Medium,Premium,Zomato/Swiggy,Credit/Debit Card,Under 20 min,On-demand,78,84,77,43,45,72,27,36,62,Personalised Healthy Meal Bowls,Comfort Food Combo Boxes,0,383,304,33,0,Medium,Low,High,75,Interested,Trial Ordered,4,3,1,2,1,4,9,6,Affluent,Mid Premium,Light,79.8,57.8,52.8,31.4,49.9,Nurture
MM101308,Mumbai,West,Metro,18-24,Male,Healthcare/Service,38130,Non-Veg,Comfort/Indulgence,Happy/Social,Breakfast,South Indian,Mild,Value/Functional,Corporate Bulk,Credit/Debit Card,20-40 min,On-demand,63,34,34,57,68,50,11,80,72,Comfort Food Combo Boxes,Breakfast & Snack Boxes,9,343,2556,8,0,Low,Medium,Low,47,Not Interested,Low Intent Lead,1,1,0,1,2,1,5,6,Mass Premium,Mid Premium,Moderate,45.3,38.3,41.8,47.5,47.0,Nurture
MM101309,Hyderabad,South,Metro,18-24,Female,Corporate Professional,18243,Non-Veg,Weight Loss,Happy/Social,Breakfast,South Indian,Spicy,Value/Functional,Corporate Bulk,UPI,Under 20 min,Weekly Subscription,71,70,95,62,49,64,56,66,1,Breakfast & Snack Boxes,Personalised Healthy Meal Bowls,5,238,1184,30,1,Medium,Medium,Medium,81,Interested,Trial Ordered,1,1,1,2,2,4,10,6,Budget,Mass,Light,76.5,52.6,61.0,63.2,56.7,Nurture
MM101310,Hyderabad,South,Metro,18-24,Female,Corporate Professional,53354,Non-Veg,High Protein/Fitness,Low Energy,Dinner,Continental,Mild,Value/Functional,WhatsApp/Instagram,UPI,Planned/Subscription,Weekly Subscription,64,67,68,35,46,88,45,0,68,Functional Beverages & Mood Drinks,Comfort Food Combo Boxes,5,369,2043,22,0,Low,Medium,Medium,60,Interested,High Intent Lead,1,1,1,1,2,3,9,6,Mass Premium,Mid Premium,Moderate,72.2,45.1,51.9,38.2,44.5,Low Potential
MM101311,Bengaluru,South,Metro,55+,Female,Entrepreneur/Freelancer,110599,Non-Veg,Balanced Eating,Happy/Social,Lunch,Fusion,Mild,Value/Functional,WhatsApp/Instagram,Wallet,Under 20 min,Monthly Subscription,60,77,90,72,18,53,67,43,46,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,8,596,4732,26,1,Medium,Low,High,79,Interested,Repeat Customer,5,1,1,2,1,5,8,6,Upper Affluent,High Premium,Moderate,73.6,44.7,54.7,67.0,56.3,Nurture
